,0.066,-0.77,0.664
1283,-0.008,-0.734,0.75
1284,-0.039,-0.715,0.742
1285,-0.059,-0.762,0.727
1286,-0.016,-0.848,0.742
1287,0.141,-0.852,0.77
1288,0.316,-0.793,0.809
1289,0.434,-0.727,0.852
1290,0.445,-0.688,0.887
1291,0.391,-0.695,0.914
1292,0.313,-0.766,0.949
1293,0.242,-0.828,0.977
1294,0.203,-0.816,1.004
1295,0.203,-0.777,1.016
1296,0.203,-0.734,0.996
1297,0.195,-0.691,0.953
1298,0.18,-0.645,0.895
1299,0.172,-0.605,0.848
1300,0.168,-0.57,0.813
1301,0.172,-0.559,0.801
1302,0.195,-0.563,0.789
1303,0.223,-0.582,0.777
1304,0.25,-0.602,0.758
1305,0.262,-0.613,0.73
1306,0.25,-0.605,0.695
1307,0.223,-0.605,0.668
1308,0.203,-0.613,0.637
1309,0.195,-0.609,0.621
1310,0.191,-0.605,0.605
1311,0.191,-0.609,0.598
1312,0.18,-0.637,0.586
1313,0.168,-0.664,0.578
1314,0.164,-0.68,0.582
1315,0.184,-0.699,0.605
1316,0.219,-0.703,0.637
1317,0.242,-0.707,0.656
1318,0.254,-0.727,0.672
1319,0.246,-0.73,0.691
1320,0.25,-0.734,0.695
1321,0.25,-0.727,0.691
1322,0.246,-0.723,0.688
1323,0.242,-0.707,0.68
1324,0.223,-0.68,0.68
1325,0.211,-0.652,0.68
1326,0.203,-0.648,0.684
1327,0.191,-0.652,0.695
1328,0.199,-0.672,0.715
1329,0.195,-0.695,0.738
1330,0.207,-0.719,0.766
1331,0.203,-0.727,0.785
1332,0.199,-0.738,0.809
1333,0.211,-0.707,0.809
1334,0.23,-0.648,0.805
1335,0.242,-0.574,0.789
1336,0.25,-0.504,0.746
1337,0.25,-0.512,0.695
1338,0.195,-0.652,0.645
1339,0.031,-0.789,0.648
1340,-0.184,-0.859,0.723
1341,-0.332,-0.848,0.813
1342,-0.297,-0.762,0.934
1343,-0.094,-0.711,1.074
1344,0.16,-0.68,1.148
1345,0.277,-0.637,1.164
1346,0.215,-0.652,1.145
1347,0.086,-0.719,1.105
1348,-0.016,-0.746,1.055
1349,-0.078,-0.754,0.996
1350,-0.098,-0.746,0.945
1351,-0.09,-0.723,0.891
1352,-0.063,-0.695,0.836
1353,-0.035,-0.68,0.777
1354,-0.016,-0.668,0.727
1355,-0.016,-0.648,0.699
1356,-0.016,-0.621,0.68
1357,-0.016,-0.605,0.66
1358,-0.008,-0.602,0.648
1359,0.0,-0.602,0.645
1360,0.016,-0.602,0.645
1361,0.02,-0.609,0.648
1362,0.016,-0.621,0.645
1363,0.016,-0.629,0.656
