,-0.066,-0.848,0.574
4102,-0.152,-0.766,0.645
4103,-0.156,-0.77,0.652
4104,-0.148,-0.777,0.652
4105,-0.145,-0.785,0.656
4106,-0.137,-0.797,0.66
4107,-0.137,-0.805,0.656
4108,-0.148,-0.805,0.652
4109,-0.141,-0.801,0.656
4110,-0.145,-0.801,0.645
4111,-0.145,-0.809,0.637
4112,-0.133,-0.813,0.637
4113,-0.117,-0.828,0.633
4114,-0.098,-0.832,0.633
4115,-0.086,-0.828,0.625
4116,-0.082,-0.832,0.621
4117,-0.07,-0.828,0.617
4118,-0.074,-0.828,0.613
4119,-0.082,-0.828,0.613
4120,-0.09,-0.832,0.609
4121,-0.082,-0.828,0.598
4122,-0.078,-0.816,0.59
4123,-0.074,-0.824,0.59
4124,-0.07,-0.82,0.582
4125,-0.059,-0.832,0.586
4126,-0.059,-0.84,0.582
4127,-0.051,-0.84,0.578
4128,-0.055,-0.844,0.57
4129,-0.059,-0.844,0.57
4130,-0.066,-0.848,0.566
4131,-0.07,-0.852,0.563
4132,-0.07,-0.848,0.559
4133,-0.07,-0.844,0.559
4134,-0.07,-0.84,0.559
4135,-0.066,-0.848,0.563
4136,-0.063,-0.859,0.559
4137,-0.059,-0.859,0.559
4138,-0.055,-0.855,0.559
4139,-0.047,-0.848,0.555
4140,-0.055,-0.836,0.555
4141,-0.055,-0.828,0.551
4142,-0.059,-0.824,0.551
4143,-0.059,-0.832,0.547
4144,-0.066,-0.84,0.543
4145,-0.055,-0.84,0.539
4146,-0.063,-0.832,0.527
4147,-0.066,-0.813,0.523
4148,-0.07,-0.801,0.512
4149,-0.09,-0.789,0.504
4150,-0.098,-0.789,0.508
4151,-0.105,-0.793,0.508
4152,-0.102,-0.805,0.512
4153,-0.09,-0.82,0.523
4154,-0.082,-0.836,0.535
4155,-0.07,-0.848,0.547
4156,-0.066,-0.863,0.563
4157,-0.074,-0.883,0.566
4158,-0.09,-0.922,0.563
4159,-0.082,-0.973,0.563
4160,-0.07,-1.004,0.547
4161,-0.051,-1.008,0.543
4162,-0.023,-0.992,0.555
4163,-0.012,-0.984,0.563
4164,-0.008,-0.973,0.57
4165,-0.016,-0.945,0.578
4166,-0.016,-0.922,0.586
4167,-0.012,-0.898,0.582
4168,-0.004,-0.871,0.582
4169,0.004,-0.844,0.586
4170,0.016,-0.824,0.59
4171,0.027,-0.809,0.586
4172,0.035,-0.797,0.586
4173,0.047,-0.789,0.586
4174,0.051,-0.77,0.59
4175,0.051,-0.773,0.594
4176,0.051,-0.781,0.582
4177,0.051,-0.801,0.574
4178,0.047,-0.813,0.566
4179,0.051,-0.82,0.563
4180,0.055,-0.828,0.563
4181,0.059,-0.828,0.57
4182,0.055,-0.832,0.57
4183,0.055,-0.844,0.582
4184,0.055,-0.863,0.586
4185,0.051,-0.871,0.586
4186,0.039,-0.879,0.578
4187,0.031,-0.883,0.574
4188,0.027,-0.879,0.57
4189,0.027,-0.875,0.563
4190,0.023,-0.867,0.555
4191,0.027,-0.867,0.547
4192,0.031,-0.859,0.543
4193,0.027,-0.855,0.539
4194,0.023,-0.852,0.535
4195,0.023,-0.848,0.527
4196,0.016,-0.844,0.52
4197,0.016,-0.844,0.516
4198,0.008,-0.848,0.512
4199,0.008,-0.848,0.504
4200,0.012,-0.844,0.5
4201,0.016,-0.848,0.496
4202,0.012,-0.848,0.488
4203,0.016,-0.844,0.488
4204,0.02,-0.844,0.484
4205,0.023,-0.848,0.477
4206,0.02,-0.848,0.473
4207,0.023,-0.844,0.473
4208,0.02,-0.848,0.469
4209,0.031,-0.848,0.477
4210,0.031,-0.848,0.477
4211,0.035,-0.852,0.477
4212,0.035,-0.852,0.492
4213,0.043,-0.859,0.5
4214,0.051,-0.863,0.504
4215,0.059,-0.859,0.508
4216,0.059,-0.852,0.512
4217,0.047,-0.848,0.512
4218,0.043,-0.848,0.508
4219,0.031,-0.859,0.508
4220,0.023,-0.867,0.504
4221,0.016,-0.871,0.5
4222,0.008,-0.887,0.492
4223,0.0,-0.957,0.504
4224,-0.031,-1.066,0.52
4225,-0.082,-1.133,0.551
4226,-0.137,-1.121,0.59
4227,-0.168,-1.047,0.629
4228,-0.172,-0.969,0.652
4229,-0.172,-0.934,0.668
4230,-0.176,-0.938,0.66
